section,list/group,name,status,detail,seconds,url
TV,iptv-org IL,5Gold (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.03,http://str2.iptvhd.ru:8080/sport5gold/index.m3u8
TV,iptv-org IL,5Live (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.03,http://str2.iptvhd.ru:8080/5live/index.m3u8
TV,iptv-org IL,5Plus (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.01,http://89.33.29.115:8080/sportplus/index.m3u8
TV,iptv-org IL,5Sport 4K (2160p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.03,http://str2.iptvhd.ru:8080/5SPORT_4K/index.m3u8
TV,iptv-org IL,5Sport (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.02,http://str2.iptvhd.ru:8080/5sport/index.m3u8
TV,iptv-org IL,Angel TV Hebrew (720p),PARTIAL,unknown content-type application/x-mpegURL,1.07,https://janya-digimix.akamaized.net/vglive-sk-150533/hebrew/ngrp:angelhebrew_all/playlist.m3u8
TV,iptv-org IL,Channel 9 (Israel) (1080p),OK,HLS playlist + segment reachable,0.72,https://contact.gostreaming.tv/Con-11/index.m3u8
TV,iptv-org IL,Channel 13 (Israel) (1080p),OK,HLS playlist + segment reachable,0.33,http://stream.mcquack.net/295/index.m3u8
TV,iptv-org IL,Channel 24 (Israel) (1080p),OK,HLS playlist + segment reachable,0.33,http://stream.mcquack.net/42/index.m3u8
TV,iptv-org IL,Disney Channel (Israel) (576p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.03,http://str2.iptvhd.ru:8080/disney/index.m3u8
TV,iptv-org IL,Food Channel (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.03,http://str2.iptvhd.ru:8080/FoodChannel/index.m3u8
TV,iptv-org IL,Good Life (576p),OK,application/vnd.apple.mpegurl,0.34,http://stream.mcquack.net/47/index.m3u8
TV,iptv-org IL,Hala TV (1080p) [Not 24/7],OK,HLS playlist + segment reachable,0.72,https://stream.panet.com/edge/halaTV/playlist.m3u8
TV,iptv-org IL,Health Channel (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.01,http://89.33.29.115:8080/Health/index.m3u8
TV,iptv-org IL,Hidabroot (1080p),OK,HLS playlist + segment reachable,0.93,https://cdn.cybercdn.live/HidabrootIL/Live97/playlist.m3u8
TV,iptv-org IL,Home + (576p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.02,http://str2.iptvhd.ru:8080/home_plus/index.m3u8
TV,iptv-org IL,Hop! (1080p),OK,HLS playlist + segment reachable,0.32,http://stream.mcquack.net/44/index.m3u8
TV,iptv-org IL,HOT8 (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.02,http://str2.iptvhd.ru:8080/channel8/index.m3u8
TV,iptv-org IL,HOT Cinema 1 (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.02,http://str2.iptvhd.ru:8080/Gold/index.m3u8
TV,iptv-org IL,HOT Cinema 2 (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.03,http://str2.iptvhd.ru:8080/action/index.m3u8
TV,iptv-org IL,HOT Cinema 3 (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.02,http://str2.iptvhd.ru:8080/fun/index.m3u8
TV,iptv-org IL,HOT Cinema 4 (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.01,http://str2.iptvhd.ru:8080/drama/index.m3u8
TV,iptv-org IL,HOT Comedy (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.02,http://str2.iptvhd.ru:8080/HOTComedy/index.m3u8
TV,iptv-org IL,HOT Drama (1080p),OK,HLS playlist + segment reachable,0.34,http://stream.mcquack.net/381/index.m3u8
TV,iptv-org IL,HOT Senior (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.01,http://str2.iptvhd.ru:8080/HOT_Senior/index.m3u8
TV,iptv-org IL,HOT Zone (1080p),OK,HLS playlist + segment reachable,0.33,http://stream.mcquack.net/379/index.m3u8
TV,iptv-org IL,i24NEWS Arabic (1080p),OK,HLS playlist + segment reachable,0.75,https://i24newsarabic-cdn.encoders.immergo.tv/master.m3u8
TV,iptv-org IL,i24NEWS French (1080p),OK,HLS playlist + segment reachable,1.01,https://i24newsfrench-cdn.encoders.immergo.tv/master.m3u8
TV,iptv-org IL,i24NEWS Hebrew (1080p),OK,HLS playlist + segment reachable,0.49,https://i24newshebrew-cdn.encoders.immergo.tv/master.m3u8
TV,iptv-org IL,Junior (1080p),UNVERIFIED,no route from test server (geo-lock/IPv6/timeout) - test on the TV box,10.01,http://str2.iptvhd.ru:8080/junior/index.m3u8
TV,iptv-org IL,Kabbalah for the People Israel (504p) [Not 24/7],OK,HLS playlist + segment reachable,0.51,https://edge3.uk.kab.tv/live/tv66-heb-high/playlist.m3u8
TV,iptv-org IL,Kan 11 (1080p),OK,HLS playlist + segment reachable,2.64,https://kancdn.medonecdn.net/livehls/oil/kancdn-live/live/kan11/live.livx/playlist.m3u8
TV,iptv-org IL,Kan Educational (720p),OK,HLS playlist + segment reachable,0.32,http://stream.mcquack.net/378/index.m3u8
